destino,resenas_analizadas,sentimiento_medio,confianza_media,resenas_positivas,resenas_neutras,resenas_negativas,pct_negativas,modelo_sentimiento
La Gomera,119,0.6101,0.7345,49,50,20,16.81,cardiffnlp/twitter-xlm-roberta-base-sentiment
Calabria,118,0.5705,0.6709,39,59,20,16.95,cardiffnlp/twitter-xlm-roberta-base-sentiment
Toscana,117,0.6366,0.7414,52,49,16,13.68,cardiffnlp/twitter-xlm-roberta-base-sentiment
Huelva,115,0.604,0.7351,47,48,20,17.39,cardiffnlp/twitter-xlm-roberta-base-sentiment
Kusadasi,114,0.6068,0.6933,44,51,19,16.67,cardiffnlp/twitter-xlm-roberta-base-sentiment
Jamaica Montego Bay,114,0.4913,0.6548,25,57,32,28.07,cardiffnlp/twitter-xlm-roberta-base-sentiment
Andalucía,114,0.6627,0.7499,54,45,15,13.16,cardiffnlp/twitter-xlm-roberta-base-sentiment
Wien,113,0.6165,0.729,46,44,23,20.35,cardiffnlp/twitter-xlm-roberta-base-sentiment
Islandia,113,0.6152,0.7501,46,51,16,14.16,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cancun all inclusive experiencia,112,0.6437,0.7852,55,38,19,16.96,cardiffnlp/twitter-xlm-roberta-base-sentiment
Budapest,112,0.5373,0.6416,34,47,31,27.68,cardiffnlp/twitter-xlm-roberta-base-sentiment
Albania Ksamil,112,0.5457,0.6531,37,46,29,25.89,cardiffnlp/twitter-xlm-roberta-base-sentiment
Utrecht,109,0.615,0.6615,45,50,14,12.84,cardiffnlp/twitter-xlm-roberta-base-sentiment
Luxembourg,108,0.4844,0.5821,21,55,32,29.63,cardiffnlp/twitter-xlm-roberta-base-sentiment
La Rioja,107,0.5702,0.6904,34,53,20,18.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Lisboa costa,106,0.7746,0.7983,76,23,7,6.6,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cataluña,105,0.6351,0.7593,46,45,14,13.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
Marmaris,104,0.4991,0.6569,25,50,29,27.88,cardiffnlp/twitter-xlm-roberta-base-sentiment
Martinique,103,0.6223,0.7066,42,47,14,13.59,cardiffnlp/twitter-xlm-roberta-base-sentiment
Marsa Alam,103,0.5294,0.6995,26,59,18,17.48,cardiffnlp/twitter-xlm-roberta-base-sentiment
Jordania Mar Muerto,102,0.602,0.7695,44,37,21,20.59,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mauricio,101,0.5743,0.7134,37,43,21,20.79,cardiffnlp/twitter-xlm-roberta-base-sentiment
Istria,101,0.5241,0.6151,26,48,27,26.73,cardiffnlp/twitter-xlm-roberta-base-sentiment
Dubrovnik,101,0.4526,0.567,21,45,35,34.65,cardiffnlp/twitter-xlm-roberta-base-sentiment
İzmir,100,0.6911,0.7665,50,44,6,6.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Lisboa playa,100,0.6359,0.7673,46,38,16,16.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Liechtenstein,100,0.5709,0.6557,32,49,19,19.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Dresden,100,0.5513,0.6745,33,38,29,29.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Alsace,100,0.6476,0.6868,44,39,17,17.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Halkidiki,99,0.6176,0.6912,43,43,13,13.13,cardiffnlp/twitter-xlm-roberta-base-sentiment
Turquia,96,0.5824,0.7554,31,53,12,12.5,cardiffnlp/twitter-xlm-roberta-base-sentiment
Reunión,96,0.6191,0.7103,42,35,19,19.79,cardiffnlp/twitter-xlm-roberta-base-sentiment
Düsseldorf,96,0.4934,0.6379,24,42,30,31.25,cardiffnlp/twitter-xlm-roberta-base-sentiment
Semana Santa playa,95,0.4347,0.7301,20,40,35,36.84,cardiffnlp/twitter-xlm-roberta-base-sentiment
Extremadura,95,0.6356,0.7361,41,43,11,11.58,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mallorca beach travel,94,0.5879,0.656,40,28,26,27.66,cardiffnlp/twitter-xlm-roberta-base-sentiment
Leipzig,94,0.5509,0.6534,30,40,24,25.53,cardiffnlp/twitter-xlm-roberta-base-sentiment
Costa Amalfitana,94,0.7399,0.8021,57,33,4,4.26,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cantabria,94,0.6576,0.7256,44,39,11,11.7,cardiffnlp/twitter-xlm-roberta-base-sentiment
Santa Lucía,93,0.5575,0.731,28,47,18,19.35,cardiffnlp/twitter-xlm-roberta-base-sentiment
Dubrovnik turismo,93,0.6801,0.7818,46,41,6,6.45,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bremen,93,0.5858,0.6386,29,49,15,16.13,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cala Millor,92,0.6863,0.7917,49,31,12,13.04,cardiffnlp/twitter-xlm-roberta-base-sentiment
Jordania Aqaba,90,0.684,0.7521,52,27,11,12.22,cardiffnlp/twitter-xlm-roberta-base-sentiment
Creta,89,0.5248,0.6519,25,45,19,21.35,cardiffnlp/twitter-xlm-roberta-base-sentiment
RIU Cancún,87,0.7031,0.7947,47,36,4,4.6,cardiffnlp/twitter-xlm-roberta-base-sentiment
Praha,87,0.5869,0.7065,35,34,18,20.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Pest,87,0.5722,0.7258,34,29,24,27.59,cardiffnlp/twitter-xlm-roberta-base-sentiment
Omán Muscat,87,0.7572,0.8012,59,22,6,6.9,cardiffnlp/twitter-xlm-roberta-base-sentiment
Skiathos,86,0.5724,0.6674,27,43,16,18.6,cardiffnlp/twitter-xlm-roberta-base-sentiment
Koblenz,86,0.7013,0.718,48,27,11,12.79,cardiffnlp/twitter-xlm-roberta-base-sentiment
Freiburg,86,0.5946,0.6545,33,37,16,18.6,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tirol,85,0.61,0.7274,36,33,16,18.82,cardiffnlp/twitter-xlm-roberta-base-sentiment
Hannover,85,0.5043,0.6464,23,34,28,32.94,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cabo Verde Santiago,85,0.6816,0.7816,45,34,6,7.06,cardiffnlp/twitter-xlm-roberta-base-sentiment
